file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,mfa_corpus,-45.98949896286053,-46.38474441786944,5.472701148224702,8.157047549994658
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,mfa_corpus,-43.8496484375,-53.54143406794621,3.8936010289037095,11.443148868500742
F2BJRLP3,0.0,30.7068125,mfa_corpus,-45.998748371865844,-46.8879727314746,3.6427144458271394,10.329792395517677
F2BJRLP2,0.0,28.6474375,mfa_corpus,-45.02806228184991,-45.783828344958565,3.632953387727691,7.963719554694521
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,mfa_corpus,-43.22606594279661,-52.360167283278244,2.7319597034163494,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,mfa_corpus,-44.8026840367268,-50.91889762878418,2.54696087946546,12.358243745435463
